Nom,Genre,Épisodes,Date de Diffusion,Score,Rank,Téléspectateurs,Acteurs,Date Debut,Date Fin
Fatal Allure (2024),"Mystery, Romance, Drama",26.0,"Oct 8, 2024 - Oct 18, 2024",7.4,6856.0,"3,431","Dai Gao Zheng, Hong Xiao, Fan Xiao Dong, Tang Si Jia, Zhang Rui En, Min Zheng","Oct 8, 2024","Oct 18, 2024"
Double Life (2024),"Historical, Romance, Drama",27.0,"Jul 9, 2024 - Jul 20, 2024",7.4,7099.0,"1,102","Hu Yi Yao, Wang Xuan, Li Yan Man, Wang Zi Jia, Luo Rui, Han Shuo","Jul 9, 2024","Jul 20, 2024"
Playing House (2024),"Comedy, Romance, Fantasy",24.0,"Mar 27, 2024 - Apr 9, 2024",7.4,7124.0,"1,466","Tu Zhi Ying, Cavan Wen, Tan Jia Tai, Wu Hai, Qi Yi, Sun Can","Mar 27, 2024","Apr 9, 2024"
Immortal Destiny (2024),"Historical, Romance, Drama, Fantasy",24.0,"Jun 7, 2024 - Jun 23, 2024",7.4,7229.0,"1,904","Hu Yi Yao, Huang Xing, Erfan Aziz, Peng Yi Han, Zhan Zi Lin, Xu Ding","Jun 7, 2024","Jun 23, 2024"
A Flower on the Continent (2024),"Historical, Romance",28.0,"Jul 25, 2024 - Aug 8, 2024",7.4,6968.0,706,"Li Yi Tong, Liang Xue Feng, Xu Hao Xiang, Lou Yu Yao, Chen Chu Dong, Wen Chun Di","Jul 25, 2024","Aug 8, 2024"
What If (2024),"Romance, Life, Drama",20.0,"May 6, 2024 - May 13, 2024",7.4,7241.0,"3,610","Zhong Chu Xi, Liu Xue Yi, Lin Yu Shen, Yao Chi, Liu Meng Meng, Liu Dan","May 6, 2024","May 13, 2024"
The Expect Love (2024),"Historical, Mystery, Romance, Fantasy",36.0,"Apr 2, 2024",7.4,7135.0,"1,562","Winnie Zhang, Li Jiu Lin, Osborn Ma, Zhu Mo Yan, Li Shi Qi, Tan Li Min","Apr 2, 2024",
Peacock in Wonderland (2024),"Historical, Romance, Fantasy",42.0,"Apr 19, 2024",7.4,7286.0,"1,716","Zhou Jun Wei, Zhang Chu Han, Xu Mu Chan, Jerron Wu, Liu Yi Hong, Zhang Yuan Yu","Apr 19, 2024",
Practice Daughter (2024),"Historical, Comedy, Romance, Fantasy",24.0,"May 20, 2024 - Jun 4, 2024",7.4,7328.0,"1,848","Zhang Miao Yi, Yang Hao Ming, Chen Si Yu, Xu Ke, Sun Zi Hang, Fu Rou Mei Qi","May 20, 2024","Jun 4, 2024"
Love Trap (2024),"Historical, Romance",24.0,"Dec 19, 2024 - Dec 22, 2024",7.4,7190.0,"1,555","Yan Zi Xian, Zhao An Di, Lin Ya Dong, Liu Xin Nian, Lu Yang, Yan Jun Yi","Dec 19, 2024","Dec 22, 2024"
My Name Is Zhao Wu Di (2024),"Thriller, Romance, Drama",24.0,"Jan 15, 2024 - Jan 30, 2024",7.4,7383.0,"1,397","Zhao Yao Ke, Leo Yang, Darrien Zhang, Gu Yi Fan, Cheng Long, Luo Yu Tian","Jan 15, 2024","Jan 30, 2024"
The Divine Healer (2024),"Romance, Wuxia, Youth, Fantasy",24.0,"Jan 18, 2024 - Jan 31, 2024",7.3,7438.0,"1,029","Lin Xiao Zhai, Pan Yi Hong, Hu Wei, Vicky Liang, Chen Rui Feng, Akezhuli Zhuguli","Jan 18, 2024","Jan 31, 2024"
Hard Noble Lady (2024),"Historical, Romance, Fantasy",30.0,"Aug 15, 2024 - Aug 21, 2024",7.4,7389.0,"1,146","Ke Ying, Aaron Deng, Zhu Min Xin, Zhang Zhang, Chen Yun Xi, Sun Jia Qi","Aug 15, 2024","Aug 21, 2024"
A Talented Girl Grows Up (2024),"Historical, Comedy, Romance, Fantasy",24.0,"Sep 24, 2024 - Sep 30, 2024",7.3,7440.0,"1,211","Chen Fang Tong, Zhao Wen Hao, Zhu Zi Jie, Fang Si Chang, Yang Yu Bin, Kay Song","Sep 24, 2024","Sep 30, 2024"
All of Her (2024),"Romance, Drama",26.0,"Jan 9, 2024 - Jan 20, 2024",7.3,7502.0,"2,961","Sun Yi Ran, Li Zhuo Yang, Qiu Jia Qi, Wang Yi Lei, Yang Xiao Bo, Jenny Zhang","Jan 9, 2024","Jan 20, 2024"
You Are My Whole World (2024),"Romance, Wuxia",28.0,"Mar 25, 2024 - Apr 10, 2024",7.4,7364.0,792,"Lin Xiao Zhai, Brian Chang, Wang Jia Li, Chai Yi Ge, Ma Juan Juan, Chi Yuan","Mar 25, 2024","Apr 10, 2024"
